lon,lat,amenity
-0.2978537,51.481567,toilets
-0.187786,51.51264,pub
-0.1877608,51.512486,bank
-0.1876452,51.512398,telephone
-0.1876759,51.51248,post_box
-0.1975035,51.511593,post_box
-0.1785626,51.515873,old_pub
-0.1975022,51.509537,pub
-0.2939374,51.417168,post_box
-0.2940029,51.41714,pub
0.214475,51.58241,post_box
-0.3029606,51.422165,post_box
0.2115723,51.582134,pub
-0.3157467,51.437172,post_box
-0.2914827,51.45657,post_box
-0.2942275,51.45343,post_box
-0.3026947,51.444637,post_box
-0.3002861,51.450584,pub
-0.2972905,51.46024,post_box
-0.3600628,51.551903,post_box
-0.3504528,51.55161,post_box
-0.3370162,51.554855,post_box
-0.3300528,51.55645,post_box
-0.3251487,51.55498,post_box
-0.1243383,51.561554,post_box
-0.1206516,51.558926,pub
-0.0695112,51.472107,bank
0.1908555,51.5721,post_box
0.1910267,51.572353,pub
0.1877258,51.57154,pub
-0.0696953,51.470493,telephone
-0.4698276,51.492405,fuel
-0.3137251,51.45264,parking
-0.3462429,51.554626,post_box
-0.2480714,51.466537,post_box
-0.3076114,51.45381,post_box
-0.1246385,51.378036,cinema
0.1887964,51.578854,post_box
0.187751,51.57842,place_of_worship
0.1858882,51.58079,place_of_worship
0.1885351,51.582253,post_box
0.1955219,51.579273,post_box
0.2004147,51.586548,pub
0.2005327,51.586857,restaurant
0.2009349,51.586926,pub
0.1955741,51.585423,post_box
-0.2419189,51.57881,parking
-0.3589891,51.560177,post_box
-0.3561898,51.56233,post_box
-0.3560203,51.562878,pub
-0.3466999,51.56927,post_box
-0.3464574,51.56944,pub
-0.3399131,51.569206,telephone
-0.3377312,51.572445,telephone
-0.3378427,51.56524,post_box
-0.3406958,51.558743,post_box
-0.1619811,51.368904,pub
-0.3305995,51.579937,post_box
-0.3317777,51.58165,library
-0.3341705,51.577923,post_box
-0.3345889,51.574352,post_box
-0.3474615,51.557644,post_box
-0.3431793,51.575256,pub
-0.3430593,51.577164,post_box
-0.3377954,51.578213,post_box
-0.3325106,51.58143,parking
-0.3325043,51.58166,parking
0.208245,51.578465,place_of_worship
0.2096896,51.580593,place_of_worship
0.2053041,51.577232,school
0.2069454,51.587162,post_box
0.2101285,51.58496,school
-0.4888562,51.409946,pub
-0.3406389,51.572285,post_box
-0.0696771,51.46857,recycling
-0.072822,51.468018,post_box
-0.0756256,51.46352,post_box
-0.0800591,51.461636,recycling
